第一行为细菌编号/第一列尾噬菌体编号（0代表不侵染，1代表侵染）      ,Klebsiella aerogenes,Klebsiella aerogenes N1,Klebsiella oxytoca,Klebsiella pneumonaie KPC 27 Pharr Resistant,Klebsiella pneumoniae,Klebsiella pneumoniae 36,Klebsiella pneumoniae ATCC BAA-2146TM,Klebsiella pneumoniae B-7850,Klebsiella pneumoniae H151440672,Klebsiella pneumoniae K2044,Klebsiella pneumoniae KCTC 2242,Klebsiella pneumoniae KH43,Klebsiella pneumoniae KL49,Klebsiella pneumoniae KP36,Klebsiella pneumoniae KP4,Klebsiella pneumoniae KPB463,Klebsiella pneumoniae ST101,Klebsiella pneumoniae ST11-OXA245,Klebsiella pneumoniae ST11-OXA48,Klebsiella pneumoniae ST11-VIM1,Klebsiella pneumoniae ST13-OXA48,Klebsiella pneumoniae ST147-VIM1,Klebsiella pneumoniae ST15-OXA48,Klebsiella pneumoniae ST15-VIM1,Klebsiella pneumoniae ST16-OXA48,Klebsiella pneumoniae ST258-KPC3,Klebsiella pneumoniae ST340-VIM1,Klebsiella pneumoniae ST405-OXA48,Klebsiella pneumoniae ST437-OXA245,Klebsiella pneumoniae ST512-KPC3,Klebsiella pneumoniae ST846-OXA48,Klebsiella pneumoniae ST899-OXA48,Klebsiella pneumoniae ST974-OXA48,Klebsiella pneumoniae baa-2146,Klebsiella pneumoniae subsp. pneumoniae HS11286,Klebsiella pneumoniae subsp. pneumoniae KKBO-1,Klebsiella pneumoniae subsp. pneumoniae KPNIH1,Klebsiella sp
Klebsiella phage 1 LV-2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella phage 1 TK-2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella phage 117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella phage 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Klebsiella phage 1611E-K2-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella phage 2 LV-2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella phage 2044-307w,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella phage 2b LV-2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella phage 3 LV-2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella phage 31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella phage 4 LV-2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella phage 5 LV-2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella phage AmPh_EK29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella phage AmPh_EK52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella phage AmPh_EK80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
